Wall time,Step,Value
1756497154.7476387,172,8.637393951416016
1756497279.4202123,244,8.04930591583252
1756497293.51956,259,7.949916839599609
1756497913.0136397,465,7.6863603591918945
1756497958.2234988,510,7.677103042602539
1756498001.0320861,556,7.406538009643555
1756498105.7072258,658,7.561384201049805
1756498255.9785771,804,7.449333667755127
1756498478.9380836,1026,7.359495162963867
1756498489.3581715,1037,7.229612350463867
1756498584.0934212,1132,7.319785118103027
1756498633.3420372,1184,7.108570575714111
1756498726.149047,1271,7.184678554534912
1756498877.2754302,1417,7.057653427124023
1756498916.0938265,1458,7.045146465301514
1756498950.3061404,1494,7.098071098327637
1756498968.7535841,1510,7.06087589263916
1756499004.749627,1548,7.0186991691589355
1756499020.8209467,1565,6.936830520629883
1756499398.9710438,1940,6.910879611968994
1756499418.0914807,1960,6.786335468292236
1756499905.4484673,2436,6.519258975982666
1756499929.8786323,2462,6.517568588256836
1756499972.1671698,2503,6.481623649597168
1756500042.5568185,2577,6.48183536529541
1756500153.6548939,2684,6.5207438468933105
1756500162.1456864,2693,6.572953224182129
1756500179.7810142,2708,6.496344566345215
1756500188.1841028,2717,6.489588737487793
1756500235.573585,2768,6.334845542907715
1756500553.6078908,3083,6.40072774887085
1756500578.03872,3105,6.440237998962402
1756500616.0839431,3145,6.423153877258301
1756500716.6027856,3241,6.4712982177734375
1756500739.2734177,3265,6.424256801605225
1756500829.9539702,3356,6.342175006866455
1756501043.2410321,3566,6.104137420654297
1756501081.4669678,3600,6.335562229156494
1756501099.9293878,3616,6.263189315795898
1756501135.443711,3654,6.4202165603637695
1756501148.7693002,3668,6.337220191955566
1756501151.57573,3671,6.403424263000488
1756501331.8279974,3848,6.214178085327148
1756501399.1874197,3915,6.162558555603027
1756501510.2438383,4023,6.057082176208496
1756501595.0974236,4109,6.2747697830200195
1756501606.5678458,4121,6.156488418579102
1756501663.3869238,4181,6.278017997741699
1756501673.7590916,4192,6.093070030212402
1756501715.7377605,4227,6.1261210441589355
1756501814.8861148,4328,6.351740837097168
1756502050.91639,4564,6.119884490966797
1756502328.0292537,4832,6.118280410766602
1756502585.9240441,5090,5.850809574127197
1756502633.3505301,5136,5.83845329284668
1756502682.4711802,5187,6.039427757263184
1756502700.9012916,5200,5.944536209106445
1756502763.7208428,5262,5.943016052246094
1756502794.880014,5295,5.908624649047852
1756502861.3230057,5362,5.934958457946777
1756502956.930627,5454,5.902311325073242
1756503170.6858203,5667,5.844082832336426
1756503342.0777154,5832,6.04777717590332
1756503374.7001958,5866,5.885252952575684
1756503387.0394268,5879,6.0562005043029785
1756503487.793145,5981,5.896664619445801
1756503502.8540375,5997,5.965144157409668
1756503564.7380073,6053,5.864143371582031
1756503649.0348544,6138,5.934207916259766
1756503741.0927532,6225,5.897708415985107
1756503792.5501752,6279,6.157393455505371
1756503848.7001271,6334,6.060335159301758
1756503882.4630432,6369,5.786445617675781
1756504084.4923832,6569,5.802613258361816
1756504248.7085974,6730,5.867227554321289
1756504267.744908,6750,5.847046852111816
1756504372.1659293,6850,5.728949546813965
1756504440.793792,6919,5.912559509277344
1756504509.056178,6991,5.966015338897705
1756504577.6136248,7054,5.694261074066162
1756504776.560961,7253,5.86686897277832
1756504964.1503227,7436,5.949517726898193
1756504990.99598,7464,5.690262794494629
1756505070.1443787,7543,5.704950332641602
1756505175.7078001,7644,5.914478302001953
1756505261.8426476,7730,5.779893398284912
1756505286.596659,7756,5.937617301940918
1756505322.6538434,7794,5.859350204467773
1756505517.686044,7986,5.7129693031311035
1756505659.3512235,8122,5.658906936645508
1756505828.323096,8291,5.937005996704102
1756506090.1418133,8548,5.713336944580078
1756506095.9956791,8554,5.782862663269043
1756506164.5584228,8618,5.738715171813965
1756506202.1161385,8659,5.713420391082764
1756506235.1597612,8694,5.737442970275879
1756506266.8094215,8724,5.842434883117676
1756506293.5149767,8752,5.65803861618042
1756506316.2438364,8776,5.74542760848999
1756506318.1874506,8778,5.799839973449707
1756506370.2338064,8823,5.674567699432373
1756506379.667162,8833,5.778440475463867
1756506421.1749315,8877,5.776041030883789
1756506606.0220964,9058,5.691091060638428
1756506699.2718155,9152,5.76118278503418
1756506804.5839207,9252,5.900150299072266
1756506841.8347087,9291,5.707930564880371
1756506879.4489725,9327,5.651158332824707
1756506909.7733285,9359,5.910092830657959
1756507101.7587245,9547,5.670392036437988
1756507270.8940322,9712,5.590991973876953
1756507310.0066793,9753,5.829442024230957
1756507310.973023,9754,5.580297470092773
1756507398.895015,9837,5.717578411102295
1756507426.9451413,9867,5.516525745391846
1756507452.3126369,9894,5.830624580383301
1756507477.5783772,9917,5.6622138023376465
1756507507.5821385,9949,5.547144889831543
